Date,AAPL
02/01/2018,43.064999
03/01/2018,43.057499
04/01/2018,43.2575
05/01/2018,43.75
08/01/2018,43.587502
09/01/2018,43.5825
10/01/2018,43.572498
11/01/2018,43.82
12/01/2018,44.272499
16/01/2018,44.047501
17/01/2018,44.775002
18/01/2018,44.814999
19/01/2018,44.615002
22/01/2018,44.25
23/01/2018,44.259998
24/01/2018,43.555
25/01/2018,42.7775
26/01/2018,42.877499
29/01/2018,41.990002
30/01/2018,41.7425
31/01/2018,41.857498
01/02/2018,41.945
02/02/2018,40.125
05/02/2018,39.122501
06/02/2018,40.7575
07/02/2018,39.884998
08/02/2018,38.787498
09/02/2018,39.102501
12/02/2018,40.677502
13/02/2018,41.084999
14/02/2018,41.842499
15/02/2018,43.247501
16/02/2018,43.107498
20/02/2018,42.962502
21/02/2018,42.767502
22/02/2018,43.125
23/02/2018,43.875
26/02/2018,44.7425
27/02/2018,44.5975
28/02/2018,44.529999
01/03/2018,43.75
02/03/2018,44.052502
05/03/2018,44.205002
06/03/2018,44.1675
07/03/2018,43.7575
08/03/2018,44.235001
09/03/2018,44.994999
12/03/2018,45.43
13/03/2018,44.9925
14/03/2018,44.610001
15/03/2018,44.662498
16/03/2018,44.505001
19/03/2018,43.825001
20/03/2018,43.810001
21/03/2018,42.817501
22/03/2018,42.212502
23/03/2018,41.235001
26/03/2018,43.192501
27/03/2018,42.084999
28/03/2018,41.619999
29/03/2018,41.945
02/04/2018,41.669998
03/04/2018,42.0975
04/04/2018,42.9025
05/04/2018,43.200001
06/04/2018,42.095001
09/04/2018,42.512501
10/04/2018,43.3125
11/04/2018,43.110001
12/04/2018,43.535
13/04/2018,43.682499
16/04/2018,43.955002
17/04/2018,44.560001
18/04/2018,44.459999
19/04/2018,43.200001
20/04/2018,41.43
23/04/2018,41.310001
24/04/2018,40.735001
25/04/2018,40.912498
26/04/2018,41.055
27/04/2018,40.580002
30/04/2018,41.314999
01/05/2018,42.275002
02/05/2018,44.142502
03/05/2018,44.2225
04/05/2018,45.9575
07/05/2018,46.290001
08/05/2018,46.512501
09/05/2018,46.84
10/05/2018,47.509998
11/05/2018,47.147499
14/05/2018,47.037498
15/05/2018,46.610001
16/05/2018,47.044998
17/05/2018,46.747501
18/05/2018,46.577499
21/05/2018,46.907501
22/05/2018,46.790001
23/05/2018,47.09
24/05/2018,47.037498
25/05/2018,47.145
29/05/2018,46.974998
30/05/2018,46.875
31/05/2018,46.717499
01/06/2018,47.560001
04/06/2018,47.9575
05/06/2018,48.327499
06/06/2018,48.494999
07/06/2018,48.365002
08/06/2018,47.924999
11/06/2018,47.807499
12/06/2018,48.07
13/06/2018,47.674999
14/06/2018,47.700001
15/06/2018,47.209999
18/06/2018,47.185001
19/06/2018,46.422501
20/06/2018,46.625
21/06/2018,46.365002
22/06/2018,46.23
25/06/2018,45.5425
26/06/2018,46.107498
27/06/2018,46.040001
28/06/2018,46.375
29/06/2018,46.2775
02/07/2018,46.794998
03/07/2018,45.98
05/07/2018,46.349998
06/07/2018,46.9925
09/07/2018,47.645
10/07/2018,47.587502
11/07/2018,46.970001
12/07/2018,47.7575
13/07/2018,47.8325
16/07/2018,47.727501
17/07/2018,47.862499
18/07/2018,47.599998
19/07/2018,47.970001
20/07/2018,47.860001
23/07/2018,47.9025
24/07/2018,48.25
25/07/2018,48.705002
26/07/2018,48.552502
27/07/2018,47.744999
30/07/2018,47.477501
31/07/2018,47.572498
01/08/2018,50.375
02/08/2018,51.8475
03/08/2018,51.997501
06/08/2018,52.267502
07/08/2018,51.7775
08/08/2018,51.8125
09/08/2018,52.220001
10/08/2018,51.8825
13/08/2018,52.217499
14/08/2018,52.4375
15/08/2018,52.560001
16/08/2018,53.330002
17/08/2018,54.395
20/08/2018,53.865002
21/08/2018,53.759998
22/08/2018,53.762501
23/08/2018,53.872501
24/08/2018,54.040001
27/08/2018,54.485001
28/08/2018,54.924999
29/08/2018,55.744999
30/08/2018,56.2575
31/08/2018,56.907501
04/09/2018,57.09
05/09/2018,56.717499
06/09/2018,55.775002
07/09/2018,55.325001
10/09/2018,54.5825
11/09/2018,55.962502
12/09/2018,55.267502
13/09/2018,56.602501
14/09/2018,55.959999
17/09/2018,54.470001
18/09/2018,54.560001
19/09/2018,54.592499
20/09/2018,55.0075
21/09/2018,54.415001
24/09/2018,55.197498
25/09/2018,55.547501
26/09/2018,55.105
27/09/2018,56.237499
28/09/2018,56.435001
01/10/2018,56.814999
02/10/2018,57.32
03/10/2018,58.017502
04/10/2018,56.997501
05/10/2018,56.072498
08/10/2018,55.942501
09/10/2018,56.717499
10/10/2018,54.09
11/10/2018,53.612499
12/10/2018,55.5275
15/10/2018,54.34
16/10/2018,55.537498
17/10/2018,55.297501
18/10/2018,54.005001
19/10/2018,54.827499
22/10/2018,55.162498
23/10/2018,55.682499
24/10/2018,53.772499
25/10/2018,54.950001
26/10/2018,54.075001
29/10/2018,53.060001
30/10/2018,53.325001
31/10/2018,54.715
01/11/2018,55.555
02/11/2018,51.869999
05/11/2018,50.397499
06/11/2018,50.942501
07/11/2018,52.487499
08/11/2018,52.122501
09/11/2018,51.1175
12/11/2018,48.5425
13/11/2018,48.057499
14/11/2018,46.700001
15/11/2018,47.852501
16/11/2018,48.3825
19/11/2018,46.465
20/11/2018,44.244999
21/11/2018,44.195
23/11/2018,43.072498
26/11/2018,43.654999
27/11/2018,43.560001
28/11/2018,45.235001
29/11/2018,44.887501
30/11/2018,44.645
03/12/2018,46.205002
04/12/2018,44.172501
06/12/2018,43.68
07/12/2018,42.122501
10/12/2018,42.400002
11/12/2018,42.157501
12/12/2018,42.275002
13/12/2018,42.737499
14/12/2018,41.369999
17/12/2018,40.985001
18/12/2018,41.517502
19/12/2018,40.2225
20/12/2018,39.2075
21/12/2018,37.682499
24/12/2018,36.7075
26/12/2018,39.2925
27/12/2018,39.037498
28/12/2018,39.057499
31/12/2018,39.435001
02/01/2019,39.48
03/01/2019,35.547501
04/01/2019,37.064999
07/01/2019,36.982498
08/01/2019,37.6875
09/01/2019,38.327499
10/01/2019,38.450001
11/01/2019,38.072498
14/01/2019,37.5
15/01/2019,38.267502
16/01/2019,38.735001
17/01/2019,38.965
18/01/2019,39.205002
22/01/2019,38.325001
23/01/2019,38.48
24/01/2019,38.174999
25/01/2019,39.439999
28/01/2019,39.075001
29/01/2019,38.669998
30/01/2019,41.3125
31/01/2019,41.610001
01/02/2019,41.630001
04/02/2019,42.8125
05/02/2019,43.544998
06/02/2019,43.560001
07/02/2019,42.735001
08/02/2019,42.602501
11/02/2019,42.357498
12/02/2019,42.7225
13/02/2019,42.544998
14/02/2019,42.700001
15/02/2019,42.605
19/02/2019,42.732498
20/02/2019,43.0075
21/02/2019,42.764999
22/02/2019,43.2425
25/02/2019,43.557499
26/02/2019,43.5825
27/02/2019,43.717499
28/02/2019,43.287498
01/03/2019,43.7425
04/03/2019,43.962502
05/03/2019,43.8825
06/03/2019,43.630001
07/03/2019,43.125
08/03/2019,43.227501
11/03/2019,44.724998
12/03/2019,45.227501
13/03/2019,45.427502
14/03/2019,45.932499
15/03/2019,46.529999
18/03/2019,47.005001
19/03/2019,46.6325
20/03/2019,47.040001
21/03/2019,48.772499
22/03/2019,47.762501
25/03/2019,47.185001
26/03/2019,46.697498
27/03/2019,47.1175
28/03/2019,47.18
29/03/2019,47.487499
01/04/2019,47.810001
02/04/2019,48.505001
03/04/2019,48.837502
04/04/2019,48.922501
05/04/2019,49.25
08/04/2019,50.025002
09/04/2019,49.875
10/04/2019,50.154999
11/04/2019,49.737499
12/04/2019,49.717499
15/04/2019,49.807499
16/04/2019,49.8125
17/04/2019,50.782501
18/04/2019,50.965
22/04/2019,51.1325
23/04/2019,51.869999
24/04/2019,51.790001
25/04/2019,51.32
26/04/2019,51.075001
29/04/2019,51.1525
30/04/2019,50.1675
01/05/2019,52.630001
02/05/2019,52.287498
03/05/2019,52.9375
06/05/2019,52.119999
